철도운영기관명,선명,역명,출구번호,출구별 주요시설명
서울교통공사,1호선,종로3가,13,청계천3가
서울교통공사,1호선,종로3가,13,기계공구상가
서울교통공사,1호선,종로3가,13,청계창작스튜디오
서울교통공사,1호선,종로3가,14,서울청소년수련관
서울교통공사,1호선,종로3가,15,서울지방노동청
서울교통공사,1호선,종로3가,15,서울종합고용지원센터
서울교통공사,1호선,종로3가,15,기업은행종로지점
서울교통공사,1호선,종로3가,15,종로2가
서울교통공사,1호선,종로3가,15,관수동
서울교통공사,1호선,종로3가,2,창덕궁
서울교통공사,1호선,종로3가,02월 01일,피카디리
서울교통공사,1호선,종로3가,02월 01일,우체국
서울교통공사,1호선,종로3가,02월 01일,국민은행
서울교통공사,1호선,종로3가,02월 01일,신한은행
서울교통공사,1호선,종로3가,02월 01일,서울극장
서울교통공사,1호선,종로3가,3,종로3가 방면
서울교통공사,1호선,종로3가,3,돈의동
서울교통공사,1호선,종로3가,4,낙원동
서울교통공사,1호선,종로3가,5,종로세무서
서울교통공사,1호선,종로3가,5,서울노인복지센터
서울교통공사,1호선,종로3가,5,탑골공원(후문)방면
서울교통공사,1호선,종로3가,5,목인박물관
서울교통공사,1호선,종로3가,5,보나장신구박물관
서울교통공사,1호선,종로3가,5,낙원상가
서울교통공사,1호선,종로3가,5,(재)한국공예문화진흥원
서울교통공사,1호선,종로3가,5,장애인공단서울지사
서울교통공사,1호선,종로3가,5,종로1/2/3/4가동 행정복지센터
서울교통공사,1호선,종로3가,5,인사동 방면
서울교통공사,1호선,종로3가,6,창덕궁 방면
서울교통공사,1호선,종로3가,6,한국사이버대학교
서울교통공사,1호선,종로3가,6,떡박물관
서울교통공사,1호선,종로3가,6,운현궁
서울교통공사,1호선,종로3가,7,창덕궁
서울교통공사,1호선,종로3가,7,돈화문
서울교통공사,1호선,종로3가,8,종묘시민공원
서울교통공사,1호선,종로3가,8,보석백화점
서울교통공사,1호선,종로3가,8,종묘
서울교통공사,1호선,종로3가,9,우리은행
서울교통공사,1호선,종로3가,9,종로3가파출소
서울교통공사,1호선,종로3가,9,단성사
서울교통공사,1호선,종로5가,1,한국어항협회
서울교통공사,1호선,종로5가,1,효성쥬얼리시티
서울교통공사,1호선,종로5가,1,혜화경찰서
서울교통공사,1호선,종로5가,1,종로5가우체국
서울교통공사,1호선,종로5가,1,중앙선거관리위원회 선거연수원
서울교통공사,1호선,종로5가,1,서울특별시선거관리위원회
서울교통공사,1호선,종로5가,1,국민건강보험공단 종로지사
서울교통공사,1호선,종로5가,1,서울신용보증재단
서울교통공사,1호선,종로5가,1,IBK기업은행
서울교통공사,1호선,종로5가,1,KB국민은행
서울교통공사,1호선,종로5가,1,두산아트센터(연강홀)
서울교통공사,1호선,종로5가,1,보령빌딩
서울교통공사,1호선,종로5가,1,보령약국
서울교통공사,1호선,종로5가,1,종오약국
서울교통공사,1호선,종로5가,2,서울보증보험
서울교통공사,1호선,종로5가,2,삼양사
서울교통공사,1호선,종로5가,2,엘가모아-(구)한빛웨딩프라자
서울교통공사,1호선,종로5가,2,여전도회관
서울교통공사,1호선,종로5가,2,연지동방향
서울교통공사,1호선,종로5가,2,이화예식장
서울교통공사,1호선,종로5가,2,한국교회100주년기념관
서울교통공사,1호선,종로5가,2,한국기독교연합회환
서울교통공사,1호선,종로5가,3,효제초등학교
서울교통공사,1호선,종로5가,3,대학로방면
서울교통공사,1호선,종로5가,3,수도요리학원
서울교통공사,1호선,종로5가,3,중부교육청
서울교통공사,1호선,종로5가,4,종로5/6가동 행정복지센터
서울교통공사,1호선,종로5가,4,백제약국
서울교통공사,1호선,종로5가,5,동대문시장
서울교통공사,1호선,종로5가,5,종로신진시장
서울교통공사,1호선,종로5가,5,신한은행
서울교통공사,1호선,종로5가,5,백화점약국
서울교통공사,1호선,종로5가,5,KB국민은행
서울교통공사,1호선,종로5가,6,평화시장
서울교통공사,1호선,종로5가,6,청계천 5가
서울교통공사,1호선,종로5가,6,동대문 시장
서울교통공사,1호선,종로5가,6,청계천-마전교
서울교통공사,1호선,종로5가,7,종로5가파출소
서울교통공사,1호선,종로5가,7,방산시장
서울교통공사,1호선,종로5가,7,광장시장
서울교통공사,1호선,종로5가,7,청계천(마전교)
서울교통공사,1호선,종로5가,7,우리은행
서울교통공사,1호선,종로5가,8,제일은행
서울교통공사,1호선,종로5가,8,광장시장
서울교통공사,1호선,종로5가,8,농협
서울교통공사,1호선,종로5가,8,신한은행
서울교통공사,1호선,청량리(서울시립대입구),1,경동시장
서울교통공사,1호선,청량리(서울시립대입구),1,동서시장
서울교통공사,1호선,청량리(서울시립대입구),2,청량리우체국
서울교통공사,1호선,청량리(서울시립대입구),2,동대문경찰서
서울교통공사,1호선,청량리(서울시립대입구),2,현대코아빌딩
서울교통공사,1호선,청량리(서울시립대입구),3,동대문세무서
서울교통공사,1호선,청량리(서울시립대입구),3,미주아파트
서울교통공사,1호선,청량리(서울시립대입구),4,서울시립대학교
서울교통공사,1호선,청량리(서울시립대입구),4,청량리역(국철)
서울교통공사,1호선,청량리(서울시립대입구),5,역전치안센터
서울교통공사,1호선,청량리(서울시립대입구),6,동부청과시장
서울교통공사,1호선,청량리(서울시립대입구),6,성바오로병원
서울교통공사,2호선,강남,1,국민건강보험강남지사
서울교통공사,2호선,강남,1,국세종합상담센터
서울교통공사,2호선,강남,1,삼성세무서
서울교통공사,2호선,강남,1,서초
서울교통공사,2호선,강남,1,특허청서울사무소
서울교통공사,2호선,강남,1,캠브리지빌딩
서울교통공사,2호선,강남,1,테헤란빌딩
서울교통공사,2호선,강남,1,역삼
서울교통공사,2호선,강남,10,한남대교방면
서울교통공사,2호선,강남,10,시카고
서울교통공사,2호선,강남,10,뉴욕제과
서울교통공사,2호선,강남,10,한남대교방면
서울교통공사,2호선,강남,10,외환은행
서울교통공사,2호선,강남,10,교보타워
서울교통공사,2호선,강남,10,동양빌딩
서울교통공사,2호선,강남,10,사랑의교회
서울교통공사,2호선,강남,10,교보타워
서울교통공사,2호선,강남,10,기업은행강남역지점
서울교통공사,2호선,강남,11,역삼1동
서울교통공사,2호선,강남,11,시계탑빌딩
서울교통공사,2호선,강남,11,삼정호텔
서울교통공사,2호선,강남,11,CGV
서울교통공사,2호선,강남,11,시티극장
서울교통공사,2호선,강남,11,한국자산관리공사
서울교통공사,2호선,강남,11,한국산업은행 서초지점
서울교통공사,2호선,강남,11,영동시장방면
서울교통공사,2호선,강남,12,국기원
서울교통공사,2호선,강남,12,국립어린이청소년도서관
서울교통공사,2호선,강남,12,국립중앙도서관학위논문관
서울교통공사,2호선,강남,2,국민건강보험공단
서울교통공사,2호선,강남,2,국민건강보험공단강남서부지사
서울교통공사,2호선,강남,2,양재동방면
서울교통공사,2호선,강남,2,메리츠타워
서울교통공사,2호선,강남,2,푸르덴셜타워
서울교통공사,2호선,강남,3,(신분당선출구)역삼방면
서울교통공사,2호선,강남,4,(신분당선출구)버거킹
서울교통공사,2호선,강남,4,(신분당선출구)역삼1동 행정복지센터
서울교통공사,2호선,강남,5,(신분당선출구)서초2동 행정복지센터
서울교통공사,2호선,강남,6,(신분당선출구)강남역사거리/대신증권
서울교통공사,2호선,강남,7,한화증권
서울교통공사,2호선,강남,7,KDB산업은행
서울교통공사,2호선,강남,7,우성아파트
서울교통공사,2호선,강남,7,한국산업은행
서울교통공사,2호선,강남,7,서울보증보험
서울교통공사,2호선,강남,8,삼성타운
서울교통공사,2호선,강남,8,서운중학교
서울교통공사,2호선,강남,9,진흥아파트
서울교통공사,2호선,강남,9,서일중학교
서울교통공사,2호선,강남,9,서초4동
서울교통공사,2호선,강남,9,삼호아파트
서울교통공사,2호선,강변(동서울터미널),1,구의3동 행정복지센터
서울교통공사,2호선,강변(동서울터미널),1,광남중고교
서울교통공사,2호선,강변(동서울터미널),1,현대아파트
서울교통공사,2호선,강변(동서울터미널),1,광남 초중고
서울교통공사,2호선,강변(동서울터미널),1,광진문화원
서울교통공사,2호선,강변(동서울터미널),1,구의3동 행정복지센터
서울교통공사,2호선,강변(동서울터미널),1,구의3동파출소
서울교통공사,2호선,강변(동서울터미널),1,워커힐호텔
서울교통공사,2호선,강변(동서울터미널),1,일동후디스
서울교통공사,2호선,강변(동서울터미널),1,프라임아파트
서울교통공사,2호선,강변(동서울터미널),1,현대아파트2/3/6단지
서울교통공사,2호선,강변(동서울터미널),2,현대아파트
서울교통공사,2호선,강변(동서울터미널),2,한강시민공원
서울교통공사,2호선,강변(동서울터미널),3,한양아파트
서울교통공사,2호선,강변(동서울터미널),3,한강시민공원
서울교통공사,2호선,강변(동서울터미널),3,동서울종합터미널
서울교통공사,2호선,강변(동서울터미널),3,광진중학교
서울교통공사,2호선,강변(동서울터미널),3,성동초등학교
