ID,MLSFC_NM,POI_ID,POI_NM,CL_CD,CL_NM,CTPRVN_NM,SIGNGU_NM,위도,경도
182,문화시설,1054902,롯데시네마,100209,롯데시네마,서울특별시,금천구,37.47766303,126.8891761
183,문화시설,1055221,두리춤터,100203,공연/연극/문화센터,서울특별시,서초구,37.49310949,126.989166
184,문화시설,1055338,아르떼홀,100203,공연/연극/문화센터,서울특별시,마포구,37.54765911,126.9105857
185,문화시설,1063147,오페라갤러리,100106,소형갤러리,서울특별시,강남구,37.5219978,127.036595
186,문화시설,1063234,블루라이트라이브홀,100203,공연/연극/문화센터,서울특별시,마포구,37.55313499,126.9222245
187,문화시설,1064351,슈퍼맨아트홀,100203,공연/연극/문화센터,서울특별시,마포구,37.55047047,126.9157108
188,문화시설,1065187,서울특별시청시민청,100203,공연/연극/문화센터,서울특별시,중구,37.56666702,126.9783698
189,문화시설,1065390,긱라이브하우스,100203,공연/연극/문화센터,서울특별시,마포구,37.55637741,126.9320341
190,문화시설,1066874,AN아트홀,100203,공연/연극/문화센터,서울특별시,종로구,37.58247682,127.0035588
191,문화시설,1067251,르메이에르씨어터,100203,공연/연극/문화센터,서울특별시,종로구,37.58079449,127.0041462
192,문화시설,1070836,CGV,100208,CGV,서울특별시,노원구,37.63976942,127.0686963
193,문화시설,1074427,쁘띠첼씨어터,100203,공연/연극/문화센터,서울특별시,종로구,37.58080217,127.0039783
194,문화시설,1075688,돈화문교육전시장,100103,기타전시/박물관,서울특별시,종로구,37.57694557,126.9911017
195,문화시설,1076211,류아트센터,100106,소형갤러리,서울특별시,서대문구,37.56688696,126.9216258
196,문화시설,1076998,네스트나다,100203,공연/연극/문화센터,서울특별시,마포구,37.5547905,126.9288564
197,문화시설,1077652,롯데시네마,100209,롯데시네마,서울특별시,강남구,37.51658873,127.0217976
198,문화시설,1077958,서울에너지드림센터,100103,기타전시/박물관,서울특별시,마포구,37.56311267,126.8914494
199,문화시설,1078612,나온씨어터,100203,공연/연극/문화센터,서울특별시,종로구,37.5877069,126.9993836
200,문화시설,1079690,소극장창덕궁,100203,공연/연극/문화센터,서울특별시,종로구,37.5768732,126.9904551
201,문화시설,1081124,파독근로자기념관,100103,기타전시/박물관,서울특별시,서초구,37.4689197,127.0446393
202,문화시설,1082129,시몬느핸드백박물관,100103,기타전시/박물관,서울특별시,강남구,37.51903778,127.0229726
203,문화시설,1082369,그림손갤러리,100106,소형갤러리,서울특별시,종로구,37.57430592,126.9860948
204,문화시설,1085163,CGV,100208,CGV,서울특별시,서대문구,37.55661676,126.9401956
205,문화시설,1085445,예술공간혜화,100203,공연/연극/문화센터,서울특별시,종로구,37.58662919,127.0004536
206,문화시설,1087067,거락,100106,소형갤러리,서울특별시,강남구,37.52352956,127.0223853
207,문화시설,1087070,케이아크,100106,소형갤러리,서울특별시,강서구,37.54359912,126.846914
208,문화시설,1087091,아트센터이다,100105,미술관,서울특별시,서초구,37.47637572,127.0381449
209,문화시설,1087118,생각꿈틀미술관,100105,미술관,서울특별시,서초구,37.48810222,127.0317688
210,문화시설,1088837,서울시립북서울미술관,100105,미술관,서울특별시,노원구,37.64093212,127.0667196
211,문화시설,1089751,자하갤,100106,소형갤러리,서울특별시,종로구,37.58786937,126.9672905
212,문화시설,1090127,녹색성장체험관,100103,기타전시/박물관,서울특별시,종로구,37.57222316,126.9778721
213,문화시설,1090908,미디액트,100203,공연/연극/문화센터,서울특별시,마포구,37.55453874,126.9310574
214,문화시설,1090919,브이매직,100203,공연/연극/문화센터,서울특별시,광진구,37.55471238,127.0778309
215,문화시설,1092500,롯데시네마,100209,롯데시네마,서울특별시,구로구,37.50879868,126.8890356
216,문화시설,1093575,생각하는박물관,100103,기타전시/박물관,서울특별시,종로구,37.58260478,126.9873996
217,문화시설,1093639,JH아트홀,100203,공연/연극/문화센터,서울특별시,종로구,37.58303734,127.0030393
218,문화시설,1093672,갤러리루미나리에,100106,소형갤러리,서울특별시,서초구,37.49570306,127.0224991
219,문화시설,1094191,박노수미술관,100105,미술관,서울특별시,종로구,37.58131042,126.9667801
220,문화시설,1094822,국립현대미술관,100105,미술관,서울특별시,종로구,37.57949124,126.9807723
221,문화시설,1095067,서완소극장,100203,공연/연극/문화센터,서울특별시,종로구,37.58419269,127.0004559
222,문화시설,1096297,WK뉴욕갤러리강남,100105,미술관,서울특별시,강남구,37.51264081,127.0360404
223,문화시설,1097096,소극장천공의성,100203,공연/연극/문화센터,서울특별시,종로구,37.58832469,126.9995113
224,문화시설,1097998,김동수플레이하우스,100203,공연/연극/문화센터,서울특별시,종로구,37.57661532,127.0025852
225,문화시설,1098082,압구정로데오극장,100203,공연/연극/문화센터,서울특별시,강남구,37.52559942,127.0383383
226,문화시설,1099534,BBC아트센터BBC홀,100203,공연/연극/문화센터,서울특별시,강남구,37.52395844,127.0258341
227,문화시설,1100582,콘서트하우스,100203,공연/연극/문화센터,서울특별시,서초구,37.4853752,127.0104763
228,문화시설,1102208,불과얼음,100203,공연/연극/문화센터,서울특별시,마포구,37.54948528,126.9093135
229,문화시설,1102279,예술나무씨어터,100203,공연/연극/문화센터,서울특별시,구로구,37.5000253,126.8840937
230,문화시설,1103620,만천곤충,100103,기타전시/박물관,서울특별시,영등포구,37.52027903,126.9013956
231,문화시설,1103944,호림박물관,100103,기타전시/박물관,서울특별시,강남구,37.52260822,127.0360266
232,문화시설,1103948,313아트프로젝트,100103,기타전시/박물관,서울특별시,강남구,37.52248158,127.0355666
233,문화시설,1103960,갤러리화사랑,100106,소형갤러리,서울특별시,동대문구,37.60100267,127.0636575
234,문화시설,1104817,설앤컴퍼니,100203,공연/연극/문화센터,서울특별시,강남구,37.51134722,127.0288101
235,문화시설,1104972,갤러리두들,100103,기타전시/박물관,서울특별시,영등포구,37.51385082,126.8954417
236,문화시설,1106131,극장드라폼,100203,공연/연극/문화센터,서울특별시,양천구,37.52519772,126.8562777
237,문화시설,1106181,국립공원산악박물관,100103,기타전시/박물관,서울특별시,도봉구,37.68771116,127.0346951
238,문화시설,1106605,우리네극장,100203,공연/연극/문화센터,서울특별시,종로구,37.58079288,127.0041492
239,문화시설,1107246,앤드앤갤러리,100106,소형갤러리,서울특별시,강남구,37.52561997,127.0297725
240,문화시설,1108080,인디팍,100203,공연/연극/문화센터,서울특별시,마포구,37.55249801,126.9189548
