연도,CTPRVN_NM,SIGNGU_NM,SIGNGU_CD,POPLTN_CO,CL_NM,N10S_CLTUR_IDEX_VALUE,N20S_CLTUR_IDEX_VALUE,N30S_CLTUR_IDEX_VALUE,N40S_CLTUR_IDEX_VALUE,N50S_CLTUR_IDEX_VALUE,N60S_CLTUR_IDEX_VALUE,N70S_CLTUR_IDEX_VALUE,FILE_NM,BASE_DE
2020,서울특별시,성동구,11200,294272,도서관,253.2,253.2,172.2,141.0,81.6,50.4,50.4,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,성북구,11290,438051,도서관,422.0,422.0,287.0,235.0,136.0,84.0,84.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,송파구,11710,668498,도서관,506.4,506.4,344.4,282.0,163.2,100.8,100.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,양천구,11470,455058,도서관,379.8,379.8,258.3,211.5,122.4,75.6,75.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,영등포구,11560,378276,도서관,211.0,211.0,143.5,117.5,68.0,42.0,42.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,용산구,11170,230151,도서관,168.8,168.8,114.8,94.0,54.4,33.6,33.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,은평구,11380,480617,도서관,295.4,295.4,200.9,164.5,95.2,58.8,58.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,종로구,11110,149549,도서관,295.4,295.4,200.9,164.5,95.2,58.8,58.8,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,중구,11140,125505,도서관,211.0,211.0,143.5,117.5,68.0,42.0,42.0,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,중랑구,11260,395194,도서관,168.8,168.8,114.8,94.0,54.4,33.6,33.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강남구,11680,539838,공연장,759.5,759.5,589.0,412.3,297.6,99.2,99.2,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
2020,서울특별시,강동구,11740,458604,공연장,73.5,73.5,57.0,39.9,28.8,9.6,9.6,KC_599_AGE_CLT_STATN_BIZAEA_2020,20210201
